Geneid	gene_name	SRR3655795Aligned.sortedByCoord.out.bam	SRR3655801Aligned.sortedByCoord.out.bam	SRR3655791Aligned.sortedByCoord.out.bam	SRR3655798Aligned.sortedByCoord.out.bam	SRR3655797Aligned.sortedByCoord.out.bam	SRR3655799Aligned.sortedByCoord.out.bam	SRR3655793Aligned.sortedByCoord.out.bam	SRR3655800Aligned.sortedByCoord.out.bam	SRR3655802Aligned.sortedByCoord.out.bam	SRR3655792Aligned.sortedByCoord.out.bam	SRR3655794Aligned.sortedByCoord.out.bam	SRR3655796Aligned.sortedByCoord.out.bam
tnfrsf19	NA	38	65	63	64	64	133	22	330	138	141	56	92
si:ch211-113p18.3	NA	37	90	66	81	81	80	48	162	226	142	105	158
egln2	NA	161	270	140	336	336	378	235	886	601	388	484	365
tmem160	NA	24	29	25	43	43	63	41	110	55	81	51	68
npas1	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100004299	NA	409	427	444	452	452	495	403	1198	1069	1078	1046	1135
ap2s1	NA	632	1551	732	2347	2347	1443	917	3541	3923	1833	2192	1550
rab4b	NA	42	121	128	144	144	135	41	344	286	281	164	103
rhoub	NA	177	32	53	52	52	15	94	23	81	112	232	378
rtn2a	NA	1	0	0	0	0	2	0	6	0	0	4	4
ppm1na	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-202g17.3	NA	0	1	0	0	0	0	0	0	0	0	0	0
ptgir	NA	47	41	48	63	63	72	37	155	125	116	93	103
LOC110437887	NA	0	0	0	0	0	0	0	0	0	0	0	0
calm3a	NA	356	454	348	411	411	399	442	985	1076	759	1004	879
si:ch211-261a10.5	NA	10	4	35	23	23	26	51	81	15	88	138	18
slc37a4a	NA	1035	892	440	753	753	538	824	1409	2463	1174	2008	2662
trappc4	NA	209	409	167	374	374	318	256	735	1058	406	614	485
sgcg	NA	2	1	0	2	2	1	1	0	5	0	1	7
sacs	NA	3	5	2	55	55	9	1	22	15	7	8	14
gab2	NA	33	51	53	177	177	101	37	248	149	142	108	83
nars2	NA	29	49	62	176	176	82	35	175	130	122	91	89
LOC103908802	NA	2	0	3	0	0	0	0	1	0	6	1	7
LOC110437944	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179280	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC793824	NA	3	0	0	0	0	1	0	1	0	1	0	4
tenm4	NA	10	1	1	1	1	5	1	9	4	3	4	21
LOC110437888	NA	0	0	3	0	0	4	0	13	4	7	0	0
LOC110437945	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101883612	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179115	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179246	NA	0	0	0	0	0	0	0	0	0	0	0	0
fam181b	NA	7	3	8	2	2	8	2	19	10	10	20	9
prcp	NA	238	707	364	539	539	1488	736	3591	1700	931	1751	609
LOC110437889	NA	0	0	2	0	0	0	0	3	0	1	0	0
rab30	NA	22	20	9	4	4	33	20	96	39	32	43	53
si:ch73-321d9.2	NA	0	0	0	0	0	0	0	0	1	0	0	3
ndufc2	NA	494	1362	429	697	697	1019	619	2541	3446	1105	1546	1242
LOC101885330	NA	0	0	0	0	0	0	0	0	0	0	0	0
slc1a5	NA	128	332	33	875	875	395	67	936	895	100	192	264
fkrp	NA	56	33	37	34	34	72	32	164	121	95	80	86
si:dkey-31c13.1	NA	38	72	24	51	51	59	20	108	184	71	81	92
strn4	NA	476	463	482	743	743	525	398	1320	1281	1053	1011	1100
prkd2	NA	210	449	259	383	383	456	302	1088	1155	617	747	507
gpr184	NA	59	43	39	45	45	31	57	87	133	101	158	120
si:dkey-202l22.3	NA	0	0	0	1	1	0	0	0	1	1	1	6
si:dkey-202l22.4	NA	19	17	5	2	2	5	9	7	33	7	37	35
LOC110437891	NA	0	23	27	7	7	5	1	13	40	53	9	0
si:dkey-202l22.6	NA	4	0	0	0	0	0	0	2	2	0	1	13
LOC110437892	NA	0	1	0	1	1	0	2	0	0	0	1	1
dscaml1	NA	3	1	2	5	5	0	1	1	2	6	2	3
fxyd6	NA	16	0	1	2	2	12	0	16	6	4	1	37
tmprss13a	NA	0	0	0	2	2	0	0	0	0	0	0	0
il10ra	NA	119	159	92	1404	1404	178	119	419	371	238	250	267
si:ch211-150g5.4	NA	0	2	0	2	2	0	0	1	6	0	1	0
tmprss4a	NA	65	786	278	104	104	768	201	2115	2018	716	563	172
scn4ba	NA	3	3	2	2	2	6	0	17	11	6	1	6
LOC110437893	NA	0	0	0	3	3	0	0	2	1	2	2	0
scn2b	NA	19	25	13	9	9	18	6	45	40	38	12	41
LOC101884926	NA	3	5	1	8	8	9	2	17	6	20	5	11
LOC101887068	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110437946	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110437894	NA	0	0	0	0	0	1	0	2	1	0	0	0
LOC110437763	NA	2	0	0	0	0	0	0	0	6	0	0	3
zgc:172282	NA	1	0	1	0	0	0	1	0	0	0	5	5
trnac-aca_5	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:162730	NA	3199	2911	2180	7129	7129	3856	2333	9561	7019	5337	5935	7710
zgc:114130	NA	0	0	0	0	0	0	0	1	0	0	0	0
si:ch211-116o3.6	NA	0	1	0	0	0	0	0	0	0	0	0	0
trappc6bl	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-116o3.5	NA	0	0	0	0	0	0	0	0	0	0	0	0
clca1	NA	5942	2594	3167	665	665	2117	2890	5525	6754	7744	7696	14416
LOC101886645	NA	1007	1005	494	217	217	417	2003	1061	2660	1259	5311	2383
clca5.2	NA	66	202	190	16	16	282	297	611	602	502	833	181
pnkp	NA	0	0	0	0	0	2	4	1	2	0	1	3
si:dkey-243k1.3	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:162193	NA	0	1	0	3	3	2	2	2	4	1	2	0
LOC110437947	NA	0	0	0	0	0	0	0	0	0	1	1	0
si:ch211-11n16.3	NA	4	3	12	9	9	3	3	11	8	28	5	10
dpf1	NA	2	4	1	3	3	4	2	5	10	5	5	2
si:ch211-11n16.2	NA	41	59	47	73	73	65	45	143	161	102	135	86
numbl	NA	0	4	4	4	4	13	1	41	19	4	1	1
adck4	NA	2	17	16	7	7	17	0	43	58	42	0	15
si:dkey-114g7.4	NA	352	415	452	476	476	413	423	1055	1097	1152	1048	865
slc5a2	NA	0	137	101	3	3	6	6	14	342	264	9	2
si:dkey-260j18.2	NA	165	236	120	401	401	307	171	801	598	357	416	433
sars2	NA	107	125	140	52	52	104	112	256	345	394	261	250
p4ha3	NA	0	20	1	4	4	0	1	1	56	0	4	4
or129-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
or130-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-24o8.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
diabloa	NA	356	410	60	99	99	1799	78	4365	944	170	244	820
pvrl3a	NA	2	2	1	2	2	0	0	6	4	3	2	7
LOC101884227	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884185	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110437896	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103908824	NA	0	0	0	0	0	0	0	0	0	1	0	0
si:ch211-149e23.4	NA	2	1	1	7	7	2	1	5	0	2	2	2
trnan-guu_321	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_305	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_322	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_306	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_323	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_307	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_308	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_324	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_309	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_325	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_310	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_326	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_311	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnan-guu_327	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_312	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_313	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_314	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnak-cuu_315	NA	0	0	0	0	0	0	0	0	0	0	0	0
rrp8	NA	14	3	6	8	8	7	6	17	8	26	18	26
med29	NA	0	6	0	1	1	0	0	0	12	2	4	1
c2cd3	NA	0	17	8	9	9	14	3	29	26	17	7	7
camkk1b	NA	0	0	0	0	0	0	0	0	0	0	0	1
ywhag2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-105f12.2	NA	0	0	0	0	0	0	0	0	0	1	0	0
mir142b	NA	2	2	0	4	4	0	1	5	4	0	4	3
ca4b	NA	863	2699	1646	547	547	5246	1294	13034	6652	4231	3088	2185
dhrs11b	NA	1549	1554	1805	445	445	2378	1737	5778	3800	4356	4354	3620
zgc:92630	NA	173	231	141	57	57	144	169	344	737	371	591	439
proca1	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:174895	NA	0	0	0	0	0	0	0	0	0	0	0	0
rab34a	NA	0	1	1	15	15	3	2	2	4	3	2	0
trnat-agu_299	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-ucu_170	NA	0	0	0	0	0	0	0	0	0	0	0	0
nek8	NA	2	0	0	4	4	1	0	1	1	0	1	1
traf4a	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179291	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110437897	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC797963	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101883229	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103908819	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110437939	NA	1	4	1	2	2	0	0	0	10	1	0	3
si:ch211-33e4.2	NA	3	0	0	11	11	1	0	0	4	3	6	10
tada2a	NA	14	36	21	16	16	46	17	108	103	62	36	42
dusp14	NA	0	0	0	2	2	0	0	0	0	1	0	0
synrg	NA	72	76	61	96	96	70	33	144	151	151	131	170
hnf1ba	NA	5	3	3	2	2	6	4	10	8	9	11	6
dynll2a	NA	1	3	1	4	4	15	2	22	4	1	4	1
srsf1a	NA	67	203	94	239	239	161	156	371	493	235	366	193
aldoca	NA	0	0	0	0	0	0	0	0	0	0	0	0
sgk494a	NA	0	0	0	40	40	1	0	2	0	0	0	3
si:ch211-259g3.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
glod4	NA	0	0	0	0	0	0	0	0	0	0	0	0
rnmtl1a	NA	0	0	0	0	0	0	0	0	0	0	0	0
nxn	NA	15	11	21	9	9	17	14	28	16	45	38	33
txndc17	NA	303	776	284	462	462	586	466	1578	1813	779	1184	671
p2rx8	NA	0	7	0	1	1	0	0	0	9	0	0	0
fam222bb	NA	151	178	92	174	174	225	94	524	395	250	220	359
flot2b	NA	110	148	165	317	317	149	208	391	348	401	510	264
LOC110437899	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_160	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_162	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_140	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_173	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_161	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_163	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_141	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_174	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-aua_2	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_164	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_142	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_175	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-aua_3	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_165	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_143	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_176	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_162	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_166	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_144	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_177	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_163	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_167	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_145	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_178	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_164	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_168	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_146	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_179	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_165	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_169	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_147	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_180	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_166	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_170	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_148	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_181	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_167	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_171	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_149	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_182	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_168	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_172	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_150	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_183	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_169	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_173	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_151	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_184	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_170	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_174	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_152	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_185	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_171	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_175	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_153	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_186	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_172	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_176	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_154	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_187	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_173	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-uuc_177	NA	0	0	0	0	0	0	0	0	0	0	0	0
galnt17	NA	23	12	32	4	4	31	6	51	35	89	22	51
caln1	NA	6	0	1	1	1	1	0	4	4	3	1	9
tyw1	NA	327	388	332	312	312	506	344	1289	1069	786	839	797
zgc:103681	NA	1091	355	988	103	103	275	1270	746	921	2601	3239	2603
gdpd1	NA	0	0	0	0	0	1	1	0	1	0	0	0
ypel2b	NA	0	0	0	0	0	0	0	0	0	0	0	0
hip1	NA	117	107	163	200	200	129	79	350	262	443	235	340
plin2	NA	9	126	18	94	94	72	0	172	358	17	2	32
si:ch211-24o10.6	NA	0	0	0	0	0	0	0	0	0	0	0	0
clptm1	NA	0	0	0	0	0	0	0	0	0	0	0	0
mos	NA	0	0	0	0	0	0	0	0	0	0	0	0
relb	NA	0	0	0	0	0	0	0	0	0	0	0	0
mrpl28	NA	0	0	0	0	0	0	0	0	0	0	0	0
cul5a	NA	0	0	0	0	0	0	0	0	0	0	0	0
itgae.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
itgae.1	NA	64	263	47	200	200	162	23	374	637	128	91	166
LOC103908820	NA	6	3	2	3	3	6	4	5	23	2	9	12
LOC101884208	NA	55	34	22	10	10	23	18	53	104	56	47	141
dhx40	NA	71	126	81	89	89	114	102	262	307	218	287	188
cltcb	NA	933	1300	847	1474	1474	1170	933	3195	3140	2254	2387	2257
vmp1	NA	568	665	749	1035	1035	930	831	2277	1519	1912	2141	1388
mir21-2	NA	0	0	1	1	1	0	0	0	1	1	1	0
LOC110437900	NA	2	33	4	93	93	13	7	24	74	14	12	1
tubd1	NA	0	1	1	1	1	0	1	0	0	0	1	0
rps6kb1b	NA	0	0	0	0	0	0	0	0	0	0	0	0
snx19b	NA	3	8	9	43	43	48	10	100	35	26	38	31
LOC100002059	NA	22	34	5	38	38	27	16	60	73	14	39	70
LOC100001991	NA	5	6	0	6	6	3	3	5	9	2	5	8
si:ch211-213d14.1	NA	0	1	0	0	0	0	0	0	1	1	0	1
si:ch211-213d14.3	NA	1	0	0	0	0	0	1	3	6	0	1	0
si:ch211-213d14.2	NA	3	7	0	3	3	6	0	9	13	0	0	8
pou2af1	NA	0	0	0	0	0	0	0	0	0	1	0	0
zgc:113279	NA	3	1	5	11	11	1	8	10	0	25	13	12
atf5b	NA	1004	551	1024	1345	1345	1135	1115	2846	1354	2572	2946	2370
LOC407643	NA	13	7	1	11	11	17	2	57	21	0	2	35
LOC108179252	NA	0	0	0	0	0	0	0	0	0	0	0	0
phldb1b	NA	22	40	40	645	645	57	34	126	65	97	96	70
arcn1b	NA	779	1320	946	1272	1272	1113	1026	2676	3278	2222	2463	1902
cryaba	NA	0	1	0	0	0	2	0	8	3	1	0	0
dixdc1a	NA	8	32	13	113	113	25	3	69	76	33	16	23
pih1d2	NA	0	0	0	2	2	0	0	0	1	2	0	0
tmprss5	NA	1	0	0	1	1	11	1	19	2	4	5	2
btr16	NA	265	167	165	289	289	253	229	638	391	350	549	575
si:ch211-247l8.10	NA	67	822	388	169	169	534	584	1302	2059	901	1494	168
or131-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
wu:fj20b03	NA	0	0	0	0	0	0	0	0	0	0	0	0
or131-2	NA	0	1	0	1	1	0	0	0	0	0	0	0
zbtb16b	NA	707	263	60	31	31	42	35	85	654	153	73	1781
ncam1b	NA	9	14	23	12	12	14	7	20	59	56	20	24
cadm1b	NA	1	0	0	0	0	0	0	0	1	1	1	3
LOC103908826	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884281	NA	0	0	0	0	0	0	0	0	0	0	1	0
arhgap32a	NA	672	1256	926	669	669	1407	1047	3501	3158	2287	2571	1675
LOC108179296	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179297	NA	0	0	0	0	0	0	0	0	0	0	0	0
igsf9ba	NA	0	0	0	4	4	0	1	0	3	0	0	0
si:dkey-43b14.8	NA	0	0	1	0	0	0	0	0	0	12	0	0
LOC103908827	NA	0	0	0	0	0	0	0	0	0	1	0	0
jam3a	NA	0	1	1	1	1	1	0	2	3	1	0	0
vps26b	NA	1	83	33	80	80	130	38	309	272	70	91	0
thyn1	NA	0	10	0	5	5	4	3	13	14	4	8	0
acad8	NA	1	18	9	10	10	24	29	37	56	24	85	0
esamb	NA	0	0	0	0	0	0	0	1	1	0	0	0
zgc:77784	NA	0	0	0	0	0	0	0	0	0	0	0	0
lim2.3	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-4p15.3	NA	136	131	121	10	10	97	75	305	329	275	180	281
si:dkey-4p15.5	NA	0	0	0	1	1	0	0	1	0	0	1	0
sytl2b	NA	396	423	326	516	516	523	326	1270	991	727	758	877
picalmb	NA	272	278	263	257	257	332	231	816	775	672	623	738
zpld1b	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-229d2.5	NA	0	0	0	0	0	0	0	0	0	0	0	0
alcamb	NA	291	748	313	1652	1652	693	311	1700	1849	771	839	723
dyrk1ab	NA	324	433	235	733	733	395	205	1040	1157	561	559	728
trnap-cgg_69	NA	0	0	0	0	0	0	0	0	0	0	0	0
prkrirb	NA	34	89	50	75	75	70	39	199	268	111	111	130
map6b	NA	1	0	0	0	0	2	0	6	5	1	0	3
trnar-acg_155	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_174	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_188	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_175	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_156	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_189	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_176	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_157	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_190	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_177	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_158	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_191	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_178	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_159	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_192	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_179	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_160	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_193	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_180	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_161	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_194	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_181	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_162	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_195	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_182	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_163	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_196	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_183	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnah-aug_7	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_197	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_184	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_198	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_185	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_199	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_186	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_200	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_187	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_201	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_188	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnar-acg_164	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnae-cuc_202	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnay-gua_189	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:112083	NA	39	83	26	57	57	57	32	134	167	113	111	112
auts2b	NA	1	3	1	7	7	6	0	11	15	6	7	3
med13b	NA	386	376	345	576	576	433	308	1034	1022	882	710	871
exoc3l2b	NA	0	77	0	75	75	142	2	323	193	0	0	0
ppp1r14ab	NA	0	1	2	2	2	3	4	18	8	4	1	3
spint2	NA	43	184	24	122	122	194	29	501	513	68	59	91
plekhg2	NA	122	54	47	65	65	67	56	146	155	186	165	279
il15l	NA	49	11	15	4	4	9	34	8	42	60	79	146
supt5h	NA	1	25	1	37	37	24	0	61	69	1	3	2
LOC110437902	NA	0	0	0	0	0	0	0	0	0	0	0	0
rnaset2l	NA	8	25	1	56	56	19	1	62	56	6	14	21
cox7a1	NA	17	1	5	4	4	9	10	24	17	12	26	23
chp2	NA	19	27	22	19	19	15	9	48	54	43	30	45
dlc	NA	96	400	40	418	418	355	64	881	971	105	106	205
timm50	NA	20	17	5	14	14	3	7	29	31	11	14	31
tnfaip1	NA	0	0	0	0	0	0	0	0	0	0	0	0
sgsm2	NA	0	0	0	0	0	0	0	0	0	0	0	0
tpst1	NA	79	101	66	399	399	189	96	461	260	166	232	221
aldh3a1	NA	243	32	256	86	86	59	166	140	74	634	417	570
aldh3a2a	NA	345	516	407	342	342	585	442	1447	1360	1123	1215	817
ulk2	NA	4438	609	1657	448	448	421	1862	1011	1531	4108	4828	10448
LOC103908848	NA	12	1	9	1	1	14	21	42	10	20	46	16
usp2a	NA	158	88	60	89	89	43	66	115	217	142	168	375
tbcela	NA	213	232	336	81	81	318	268	804	550	794	706	479
LOC569025	NA	0	42	0	11	11	973	1	2403	156	2	3	2
si:ch211-212c13.10	NA	183	173	159	371	371	539	155	1267	485	393	401	448
si:dkey-52d15.2	NA	14	87	1	119	119	235	7	539	224	3	11	33
a2ml	NA	5	489	1	1576	1576	2254	7	5585	1221	8	24	4
LOC108179231	NA	0	4	0	42	42	45	0	121	22	0	0	0
LOC100006895	NA	3	128	2	1127	1127	1479	5	3558	332	6	8	3
LOC100006868	NA	5	49	2	237	237	371	4	787	85	4	8	13
LOC101886227	NA	0	2	1	3	3	1	0	9	7	0	0	0
si:dkey-105h12.2	NA	4	129	4	1055	1055	1114	5	2823	234	19	7	7
LOC101886465	NA	2	5	2	4	4	0	1	3	3	3	2	7
usf1	NA	47	118	88	113	113	134	69	336	324	199	187	145
gkup	NA	290	472	346	158	158	324	414	790	1246	893	1014	716
ubash3bb	NA	27	53	26	375	375	45	34	106	133	82	88	40
LOC100535496	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886502	NA	0	0	0	0	0	0	0	0	1	0	0	1
mir100-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
mirlet7a-2	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir125b-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886572	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179300	NA	0	4	0	8	8	6	0	15	20	0	0	1
LOC108179136	NA	0	0	0	1	1	1	0	0	0	0	0	0
LOC567650	NA	0	2	0	1	1	0	0	2	2	1	0	1
sorl1	NA	197	205	194	235	235	375	141	979	482	448	307	513
LOC110437903	NA	1	2	0	12	12	0	0	3	4	0	0	0
bco2b	NA	1	5	3	6	6	0	2	6	8	2	8	6
sdhdb	NA	741	1239	818	630	630	1056	1317	2408	3001	1974	3214	1993
si:dkey-40g16.6	NA	174	417	84	1329	1329	478	127	1175	1046	190	331	432
zgc:162339	NA	70	159	91	147	147	89	87	186	331	204	205	155
