Geneid	gene_name	SRR3655801	SRR3655798	SRR3655791	SRR3655799	SRR3655795	SRR3655793	SRR3655797	SRR3655792	SRR3655794	SRR3655800	SRR3655802	SRR3655796
tmem163a	NA	2	21	0	5	1	0	21	0	0	1	5	1
arl4cb	NA	0	0	0	0	0	0	0	0	0	0	0	0
sh3bp4	NA	0	0	0	0	0	1	0	0	0	0	1	0
LOC108191355	NA	0	1	0	0	0	1	1	0	3	3	2	1
LOC108191315	NA	0	0	0	0	1	0	0	1	0	0	2	0
cntnap5a	NA	0	0	0	0	0	0	0	0	0	0	0	0
tas2r203	NA	0	0	0	0	0	0	0	0	0	0	0	0
gypc	NA	30	38	32	24	27	9	38	74	36	50	87	88
LOC103911639	NA	0	0	0	0	0	0	0	0	0	0	0	0
ndufa10	NA	1984	1236	900	1561	750	989	1236	2364	2636	4198	5083	2090
faima	NA	12	32	9	31	10	6	32	28	30	89	30	37
si:ch211-219a4.6	NA	37	1065	370	927	409	163	1065	935	526	2353	89	962
si:ch211-219a4.3	NA	2677	3068	1043	3363	997	1447	3068	2621	3911	9004	7271	2564
esyt3	NA	15	27	2	2	5	2	27	0	14	20	35	14
trnal-caa_4	NA	0	0	0	0	0	0	0	1	0	0	0	0
dhrs12	NA	261	306	458	296	507	912	306	1269	2096	672	702	1330
wdfy2	NA	121	133	129	192	167	204	133	369	556	458	380	352
ints6	NA	95	132	133	91	166	121	132	376	363	210	219	391
serpine3	NA	36	85	6	22	15	5	85	18	7	67	79	39
fam124a	NA	3	13	4	4	6	2	13	11	9	15	14	11
asb18	NA	0	0	0	0	0	0	0	0	0	0	0	0
cops8	NA	0	0	0	0	0	0	0	0	0	0	0	0
trim63b	NA	0	0	0	0	0	0	0	0	0	0	0	0
col6a3	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108191316	NA	0	0	0	0	0	0	0	0	0	0	0	0
mlphb	NA	0	0	0	0	0	0	0	0	0	0	0	0
prlh	NA	0	0	0	0	0	0	0	0	0	0	0	0
rpe	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101886229	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911641	NA	0	0	0	0	0	0	0	0	0	0	0	0
ackr3a	NA	0	0	0	0	0	0	0	0	0	1	0	0
lrrfip1a	NA	4	24	3	3	0	7	24	2	2	2	6	3
tyw5	NA	0	3	1	0	2	1	3	0	2	1	0	0
zgc:123096	NA	3	4	0	1	0	2	4	0	4	0	0	0
pgap1	NA	2	1	5	4	0	1	1	4	0	5	1	0
hecw2a	NA	0	0	0	0	0	0	0	0	0	0	0	0
stk17b	NA	5	7	5	18	4	11	7	4	7	7	5	3
zgc:153521	NA	1	0	2	1	1	0	0	1	0	2	0	1
zgc:153901	NA	0	2	4	4	2	3	2	2	10	8	4	4
nabp1a	NA	21	34	6	5	4	7	34	20	27	16	45	27
trnas-cga_37	NA	0	0	0	0	0	0	0	0	0	0	0	0
cavin2a	NA	0	0	0	0	0	0	0	0	0	0	0	0
tmeff2a	NA	1	1	0	3	1	0	1	1	0	3	1	1
LOC103911643	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC103911644	NA	0	0	0	0	2	0	0	0	0	0	0	1
LOC100534830	NA	1	2	0	6	0	1	2	4	1	20	3	1
LOC103911645	NA	0	0	0	0	0	0	0	0	0	0	0	0
slc39a10	NA	539	326	575	637	305	623	326	1668	1792	1560	1367	874
dnah7	NA	3	5	18	16	0	14	5	35	47	27	5	5
si:ch211-284a16.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-260b17.5	NA	1	0	0	0	0	0	0	2	0	1	1	1
trnal-caa_5	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-260b17.6	NA	28	38	7	22	16	16	38	25	44	60	66	34
lrch1	NA	408	598	237	471	225	308	598	634	806	1191	957	536
esd	NA	725	152	537	538	627	871	152	1400	2426	1466	2042	1580
htr2aa	NA	0	5	0	0	0	0	5	0	0	0	0	0
LOC101882178	NA	0	0	0	0	0	0	0	0	0	0	0	0
med4	NA	125	57	68	86	60	49	57	119	150	218	292	152
itm2bb	NA	5412	7138	3514	5872	3377	3916	7138	8937	10666	15315	14612	8712
epc2	NA	213	309	142	202	231	145	309	467	334	585	602	479
acvr2aa	NA	525	263	716	477	480	589	263	1799	1401	1251	1360	1160
zeb2a	NA	0	0	0	0	0	0	0	0	0	0	0	0
gtdc1	NA	57	132	50	83	30	63	132	129	144	235	162	63
arhgap15	NA	142	622	141	197	123	175	622	340	447	470	364	337
arglu1a	NA	399	285	360	440	371	253	285	990	689	1195	1054	862
efnb2a	NA	16	78	15	32	16	16	78	40	43	63	68	35
si:dkey-23f21.1	NA	0	0	0	0	1	0	0	1	0	0	0	0
LOC103911648	NA	0	1	0	0	0	2	1	0	0	1	0	0
LOC110440047	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:rp71-84d19.3	NA	6	3	6	10	7	5	3	13	12	17	25	9
slc10a2	NA	0	5	1	0	0	0	5	0	0	0	2	0
LOC103911657	NA	0	0	0	0	0	0	0	1	0	1	0	0
tlr20.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC572462	NA	0	0	0	0	0	0	0	0	0	0	0	0
tlr20.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
nepro	NA	0	0	0	0	0	0	0	0	0	0	0	0
tex30	NA	0	0	0	0	0	0	0	0	0	0	0	0
kdelc1	NA	0	0	0	0	0	0	0	0	0	0	0	0
stxbp5l	NA	0	2	0	0	1	3	2	0	0	2	0	2
gtf2e1	NA	18	56	26	23	11	30	56	72	72	53	51	20
lcmt2	NA	6	8	15	4	5	1	8	28	3	10	18	20
crygs2	NA	0	0	0	0	0	0	0	1	0	0	0	0
tbccd1	NA	5	15	12	6	7	7	15	25	13	9	15	11
rab5b	NA	2	1	1	1	0	0	1	0	2	3	0	2
si:rp71-45g20.11	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108191324	NA	0	1	0	0	0	0	1	0	0	0	0	0
si:rp71-45g20.10	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439181	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101884148	NA	0	0	0	0	0	1	0	0	0	0	0	0
si:rp71-45g20.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
dbr1	NA	0	0	0	0	0	0	0	0	0	0	0	0
armc8	NA	0	0	0	0	0	0	0	0	0	0	0	0
kcnh3	NA	0	0	0	0	0	0	0	0	0	0	0	0
idh1	NA	181	72	130	199	159	149	72	160	415	492	523	256
plekhm3	NA	9	6	8	6	7	2	6	11	25	30	29	18
fzd5	NA	290	135	221	219	157	188	135	571	495	647	745	452
ccnyl1	NA	141	172	131	171	154	107	172	358	277	427	385	355
creb1b	NA	139	77	83	95	67	90	77	199	229	209	352	197
klf7b	NA	116	330	113	196	58	110	330	260	286	523	268	178
LOC101884404	NA	4	0	0	2	1	3	0	2	4	1	13	4
si:dkey-29d5.1	NA	0	0	0	0	1	0	0	0	1	0	0	0
si:ch73-7i4.2	NA	1	0	0	0	2	1	0	0	0	0	1	1
LOC101884718	NA	0	1	0	0	0	0	1	0	1	0	2	0
LOC100537744	NA	2	8	4	6	4	0	8	6	4	11	1	7
zgc:162396	NA	31	294	221	72	54	39	294	625	71	146	23	124
zgc:162780	NA	120	172	265	262	135	155	172	618	436	699	289	357
LOC101884827	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:91818	NA	0	2	0	0	0	0	2	2	2	1	1	0
epb41l5	NA	19	49	20	23	9	14	49	43	14	62	62	24
ptpn4a	NA	18	91	12	23	8	12	91	47	9	43	48	8
tmem177	NA	9	30	54	7	13	12	30	127	46	14	15	26
si:ch73-116o1.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
pth2r	NA	3	0	1	0	4	0	0	0	0	0	3	8
LOC569401	NA	27	4	1	0	0	0	4	3	0	2	72	0
hs6st3b	NA	0	0	0	0	0	0	0	0	0	0	0	0
uggt2	NA	1	1	0	0	1	0	1	0	0	0	1	1
dnajc3a	NA	17	2	9	4	14	7	2	5	6	2	7	13
si:dkey-46k9.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
fdx1	NA	12	3	4	10	6	8	3	5	0	3	4	4
arhgap20	NA	0	0	0	0	0	1	0	0	1	0	1	0
rnf17	NA	0	0	0	0	0	0	0	0	0	0	0	0
cenpj	NA	0	2	1	0	0	0	2	0	0	0	0	1
mcf2lb	NA	0	1	0	1	0	0	1	0	0	0	0	0
phf11	NA	1	2	1	1	0	1	2	1	2	2	1	1
spryd7b	NA	0	0	0	0	0	0	0	0	0	0	0	0
trim13	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir16c	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir15a-2	NA	0	0	0	0	0	0	0	0	0	0	0	0
rnaseh2b	NA	2	2	0	0	0	2	2	1	4	0	0	0
LOC110438837	NA	0	0	0	0	1	0	0	1	0	0	0	1
c9hxorf21	NA	2	5	0	4	1	1	5	3	8	9	8	7
LOC101885868	NA	0	0	3	0	0	0	0	7	0	0	1	2
il1rapl1a	NA	2	1	0	1	2	0	1	0	1	1	12	0
cmss1	NA	2	6	1	3	3	0	6	14	4	6	12	9
tmem30c	NA	574	213	360	562	334	604	213	880	1570	1369	1479	725
dcbld2	NA	7	21	4	12	7	8	21	15	14	18	26	19
col8a1a	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-283e2.7	NA	0	0	0	0	0	0	0	0	0	0	0	0
jagn1a	NA	0	0	0	0	0	0	0	0	0	0	0	0
tfg	NA	0	0	0	0	0	0	0	0	0	0	0	0
abi3bp	NA	4	3	7	1	12	1	3	23	0	7	9	32
impg2a	NA	0	0	1	0	1	0	0	1	0	1	2	2
tlr20f	NA	0	0	0	0	1	0	0	1	0	0	1	1
si:dkey-100n23.3	NA	199	110	222	210	126	161	110	516	416	521	442	322
si:dkey-100n23.5	NA	2008	2253	822	1395	840	1062	2253	2107	2853	3678	5229	2004
mid1ip1a	NA	1	52	1	21	2	1	52	2	3	39	10	6
otc	NA	0	3	1	5	2	3	3	7	10	7	1	12
rpgra	NA	0	3	3	4	0	4	3	7	9	9	0	10
srpx	NA	75	80	56	75	53	40	80	133	77	259	204	98
sytl5	NA	11	21	7	35	7	5	21	22	20	98	55	19
asb11	NA	0	1	0	0	0	0	1	0	0	5	2	0
piga	NA	181	115	74	112	85	87	115	168	231	312	418	174
si:dkey-18p12.4	NA	0	228	0	0	0	0	228	0	0	1	1	0
zgc:113314	NA	340	426	18	150	10	12	426	35	25	328	909	32
LOC103911663	NA	0	0	0	0	0	0	0	0	0	0	1	0
gja8a	NA	0	8	0	4	0	0	8	0	0	1	0	0
gja5a	NA	22	26	19	29	15	7	26	51	18	78	45	26
acp6	NA	387	348	110	307	145	158	348	300	384	775	1115	348
si:dkey-229b18.3	NA	383	368	315	377	312	281	368	844	760	1013	953	785
LOC101884285	NA	2	6	0	0	0	0	6	0	0	2	9	0
chaf1b	NA	151	83	3	69	16	63	83	25	168	211	411	45
morc3a	NA	492	667	225	491	208	293	667	605	891	1229	1317	509
commd6	NA	138	139	27	113	29	41	139	88	110	322	337	77
tbc1d4	NA	174	312	127	142	90	76	312	328	172	406	436	218
klf12b	NA	11	52	11	32	22	14	52	43	45	94	58	58
klf5b	NA	0	2	0	0	0	0	2	1	0	3	1	0
LOC101887159	NA	12	13	0	6	3	3	13	5	5	10	26	2
dachd	NA	49	72	46	76	49	50	72	127	129	190	167	115
gpr18	NA	102	640	59	83	73	98	640	158	253	219	247	166
gpr183a	NA	70	415	23	54	53	50	415	82	123	198	143	101
si:ch211-184m13.4	NA	2	2	3	2	0	4	2	2	5	3	1	3
clybl	NA	161	101	24	71	63	84	101	70	238	222	479	197
LOC108191330	NA	0	3	0	0	0	0	3	0	0	0	0	0
zic5	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101882140	NA	0	0	0	0	0	0	0	0	0	0	0	0
zic2a	NA	0	0	0	0	0	0	0	0	0	0	0	1
tmtc4	NA	134	67	77	139	77	57	67	183	161	329	298	192
si:ch211-168k14.2	NA	0	0	1	1	1	1	0	1	0	0	2	0
nalcn	NA	13	29	25	32	23	27	29	51	60	76	46	77
itgbl1	NA	7	11	7	5	7	4	11	11	14	5	15	9
LOC110437732	NA	0	0	0	0	0	0	0	0	0	0	0	0
fgf14	NA	13	8	11	5	7	10	8	20	18	27	24	36
LOC103911668	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-83m22.7	NA	1	0	3	2	0	4	0	1	3	4	1	1
pikfyve	NA	419	3301	288	635	280	228	3301	761	676	1531	993	649
ankrd44	NA	291	517	145	287	184	252	517	396	647	716	740	440
sf3b1	NA	2977	2965	3137	2757	3064	2422	2965	8210	6880	7239	8026	7904
coq10b	NA	75	301	48	87	155	80	301	131	208	201	217	353
LOC101884351	NA	1	1	1	1	0	0	1	0	1	0	0	0
LOC103911669	NA	1	4	0	1	2	0	4	0	0	1	0	0
wu:fj66e11	NA	0	0	1	1	0	0	0	1	3	3	1	0
LOC101884425	NA	0	2	5	11	6	13	2	17	41	23	0	14
LOC101882911	NA	0	2	1	0	0	0	2	0	0	2	0	0
LOC101884483	NA	0	2	1	0	1	2	2	0	1	2	0	0
hspd1	NA	1112	1238	1379	1085	1884	2134	1238	3792	5690	2899	3274	4720
hspe1	NA	613	543	582	490	693	886	543	1577	2169	1380	1689	1685
mob4	NA	787	968	358	746	443	450	968	927	1230	1915	1934	1044
rftn2	NA	133	86	76	104	47	48	86	196	118	303	378	150
plcl1	NA	28	173	33	44	40	44	173	97	84	106	95	99
satb2	NA	68	141	142	125	209	107	141	424	255	347	238	461
dnajb11	NA	1681	721	779	971	777	703	721	2015	1886	2649	4358	1992
rabl3	NA	210	86	142	221	107	137	86	402	367	437	568	279
gzm3	NA	4	2	0	0	2	2	2	1	12	3	5	5
si:ch211-165b19.5	NA	0	6	1	3	2	0	6	1	2	1	0	2
si:ch211-165b19.8	NA	5	9	4	2	5	0	9	6	21	15	13	14
si:ch211-165b19.9	NA	7	14	2	6	3	9	14	6	19	6	18	12
ercc1	NA	252	86	202	195	106	161	86	479	453	459	679	247
olig1	NA	0	1	0	0	0	0	1	0	0	0	0	0
si:ch211-165b19.11	NA	0	0	0	0	0	0	0	0	0	0	0	1
olig2	NA	0	0	0	0	0	0	0	0	0	0	4	2
zgc:112056	NA	180	173	186	276	266	240	173	487	749	714	527	672
mxc	NA	979	6484	38	561	53	70	6484	93	230	1342	2570	112
mxe	NA	115	954	35	133	76	33	954	132	81	362	276	162
hpx	NA	4880	1759	0	2593	1	6	1759	0	16	6489	12984	5
si:dkey-145p14.5	NA	388	173	93	333	115	86	173	278	226	1003	1046	347
LOC101883176	NA	3	2	1	8	1	3	2	8	2	19	1	2
fam160a2	NA	694	572	864	1176	646	877	572	2139	2204	2881	1785	1568
cnga4	NA	1	0	0	3	1	0	0	2	1	7	15	0
nhlh2	NA	0	0	0	0	0	0	0	0	0	0	1	0
vangl1	NA	32	43	17	22	23	24	43	58	38	78	58	64
si:ch211-125e6.5	NA	2	1	0	1	1	0	1	0	1	9	10	0
zgc:172053	NA	0	1	0	11	0	0	1	0	1	20	4	0
casq2	NA	68	1	24	17	11	14	1	50	49	54	204	45
LOC108181495	NA	0	0	0	0	0	0	0	0	0	0	1	0
si:ch211-125e6.8	NA	0	3	0	2	0	8	3	8	10	6	0	2
slc5a3b	NA	54	105	22	33	35	49	105	66	102	98	128	116
atp5o	NA	4408	2665	5572	4120	5021	4037	2665	14623	11386	11164	12483	12786
dopey2	NA	635	1213	931	967	613	911	1213	2449	2520	2537	1687	1567
si:ch211-125e6.11	NA	2	8	0	0	0	0	8	0	0	0	3	0
si:ch211-125e6.12	NA	0	0	0	0	0	0	0	0	0	0	1	0
si:ch211-125e6.13	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-125e6.14	NA	0	1	0	1	0	0	1	0	0	4	0	2
si:dkey-216e24.3	NA	0	16	0	0	0	0	16	0	0	0	0	0
usp9	NA	2050	2253	1528	2214	1394	1395	2253	3998	4076	5735	5554	3649
rpl8	NA	21017	17370	28779	20023	33706	20678	17370	77597	56941	53261	56502	87090
ddx3a	NA	1771	3292	1221	2193	1796	1268	3292	3142	3362	5565	4549	4347
nyx	NA	0	0	0	0	1	1	0	1	1	2	1	0
caska	NA	449	357	395	453	385	408	357	1060	1128	1132	1209	958
gpr34b	NA	18	2	4	12	18	7	2	4	47	30	69	46
si:dkey-216e24.9	NA	33	27	18	9	53	44	27	52	147	37	79	147
mao	NA	2475	654	11320	2155	10596	11817	654	29301	31120	5615	6506	27216
ndp	NA	1	0	0	0	0	0	0	0	0	0	1	2
efhc2	NA	2	1	0	2	1	2	1	3	0	2	1	1
fundc1	NA	171	152	78	130	88	120	152	235	302	330	489	245
kdm6a	NA	269	290	271	296	216	243	290	702	672	828	731	597
si:ch73-147f11.1	NA	2	22	9	7	0	11	22	19	18	17	3	7
mir221	NA	0	2	0	0	0	0	2	0	0	0	0	0
mir222	NA	0	0	0	0	0	0	0	0	0	0	0	0
ccdc80	NA	120	108	44	79	53	43	108	144	118	204	357	158
slc35a5	NA	66	124	131	89	67	91	124	276	238	280	211	175
f5	NA	360	3213	2	1485	10	8	3213	2	14	3748	910	42
gpr161	NA	8	13	5	9	9	5	13	14	14	36	28	21
dcaf6	NA	254	251	207	237	141	149	251	513	380	692	614	332
mpc2	NA	425	549	212	441	122	193	549	605	422	1186	1064	317
nxpe3	NA	48	132	45	96	43	49	132	117	141	201	179	128
me3	NA	2945	474	782	1330	1016	1691	474	1899	4599	3486	7910	2501
ildr1b	NA	615	318	862	758	364	535	318	2261	1454	2010	1637	1000
ildr2	NA	68	210	47	138	39	45	210	111	128	337	208	112
LOC103911676	NA	11	9	12	10	6	21	9	33	36	30	15	19
gpa33	NA	1734	916	1535	1859	873	1498	916	3837	3820	4788	4549	2165
pou2f1b	NA	147	128	101	124	88	70	128	255	218	319	381	215
cd247l	NA	10	11	7	10	16	11	11	19	31	24	24	64
LOC101887113	NA	19	6	9	0	6	3	6	30	8	8	24	3
lamp1	NA	157	235	57	202	72	33	235	145	171	492	452	250
grtp1b	NA	19	18	1	10	2	8	18	22	35	24	52	14
med14	NA	351	514	246	321	236	264	514	595	659	809	860	588
si:ch211-218d20.15	NA	0	0	0	2	0	1	0	0	1	1	1	3
si:ch211-269e2.1	NA	229	142	308	275	217	259	142	844	692	717	655	502
ppp2r3b	NA	99	49	123	79	133	90	49	355	270	221	265	323
shox	NA	0	1	0	0	0	0	1	0	0	0	0	0
crlf2	NA	0	1	1	0	0	0	1	0	1	0	0	0
slc25a6	NA	0	0	0	2	0	0	0	2	0	2	1	1
asmtl	NA	13	50	23	23	18	20	50	48	52	61	34	39
p2ry8	NA	4	111	0	5	2	8	111	4	9	25	5	7
upf3a	NA	2	3	0	1	4	0	3	3	1	6	3	6
cdc16	NA	34	49	14	23	14	18	49	22	41	62	72	31
dcun1d2a	NA	3	1	4	4	3	3	1	9	8	16	9	5
tfdp1a	NA	130	56	35	86	52	69	56	118	153	172	278	124
zgc:172067	NA	1	2	0	30	0	1	2	2	0	97	1	0
si:ch211-160b11.4	NA	35	3	0	67	0	0	3	0	1	206	81	0
jam2b	NA	0	3	0	4	0	0	3	0	0	3	0	0
gabpa	NA	6	16	18	10	18	13	16	48	51	41	28	40
appb	NA	87	119	105	81	74	60	119	246	170	261	230	171
si:dkey-192g7.3	NA	505	235	451	482	236	247	235	1150	721	1302	1315	618
ncam2	NA	0	0	0	0	0	1	0	1	0	0	1	0
zp2l1	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-67c22.2	NA	131	62	59	41	32	60	62	134	175	121	336	102
rcan1a	NA	48	77	21	43	13	41	77	79	111	84	83	49
LOC101886280	NA	0	0	0	0	0	0	0	0	0	0	0	0
dnajc28	NA	0	0	2	0	0	1	0	1	0	0	0	0
mab21l3	NA	1	0	0	0	0	0	0	0	0	0	0	0
atp1a1b	NA	0	0	0	0	0	0	0	0	0	0	0	0
lrp1bb	NA	8	5	4	2	11	8	5	16	25	8	27	28
ralba	NA	163	395	95	386	99	145	395	202	373	978	456	244
LOC101886468	NA	0	0	0	0	0	0	0	0	0	0	0	1
LOC101886505	NA	0	0	0	0	0	0	0	0	0	1	0	0
si:dkey-3d4.3	NA	100	89	19	58	25	23	89	51	56	150	266	70
inhbb	NA	28	31	8	22	11	36	31	19	111	70	76	38
gli2a	NA	41	96	38	52	29	23	96	92	53	170	144	79
slc15a2	NA	152	41	44	44	23	19	41	113	67	117	427	55
hspbap1	NA	50	77	11	40	2	5	77	36	16	87	112	14
dirc2	NA	507	1094	229	529	96	186	1094	571	472	1368	1374	205
sema5ba	NA	11	33	0	15	8	3	33	17	10	41	54	8
pdia5	NA	869	574	504	977	571	619	574	1518	1608	2736	2436	1471
sec22a	NA	200	181	111	180	144	138	181	342	427	477	573	337
adcy5	NA	30	16	18	16	16	5	16	42	33	39	70	35
hacd2	NA	1891	706	2829	2405	2040	1717	706	7079	4911	6348	5266	5380
stam2	NA	1269	1703	431	1121	439	692	1703	1159	1860	2939	3319	1201
cacnb4a	NA	1	1	1	3	0	1	1	2	0	1	2	7
si:dkey-219c10.4	NA	3	0	0	0	0	0	0	0	0	1	7	3
nifk	NA	371	530	249	438	417	242	530	640	661	1070	977	1111
clasp1a	NA	360	349	218	293	277	199	349	591	476	730	911	574
tfcp2l1	NA	1519	771	208	789	670	206	771	602	543	2029	3823	1711
ddx18	NA	361	695	425	455	646	423	695	1095	1185	1155	1073	1616
ccdc93	NA	258	242	153	235	173	168	242	420	478	605	623	396
plcd4b	NA	95	36	16	34	15	17	36	40	46	107	235	58
znf142	NA	54	40	59	42	41	42	40	150	117	98	99	113
bcs1l	NA	109	114	111	113	122	142	114	317	335	296	345	276
cyp27a7	NA	1006	278	2312	1039	876	2546	278	6179	6617	2897	2737	2212
cyp27a1.2	NA	39	10	199	56	49	115	10	530	311	185	143	108
zgc:136333	NA	312	66	600	326	143	322	66	1408	909	861	691	295
cyp27a1.4	NA	316	57	213	324	259	333	57	564	920	856	810	606
mcm3ap	NA	324	353	219	291	177	201	353	564	556	731	854	461
lss	NA	886	780	65	1443	23	71	780	182	217	3701	2472	56
lmln	NA	23	73	15	44	12	11	73	36	42	115	55	74
osbpl11	NA	96	175	141	183	92	149	175	340	406	414	258	223
si:dkey-101k6.5	NA	33	501	19	46	12	16	501	38	54	111	85	34
snx4	NA	782	1111	434	762	373	474	1111	1152	1377	2005	1996	871
znf148	NA	149	229	124	193	115	150	229	343	322	487	406	286
slc12a8	NA	195	155	127	202	143	125	155	295	358	516	503	372
heg1	NA	59	242	79	63	91	76	242	205	190	197	213	202
tas2r201.1	NA	0	0	0	0	0	0	0	0	0	0	0	0
tas2r201.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
tas2r3	NA	0	0	1	0	0	0	0	1	0	0	0	0
kansl1l	NA	10	48	3	17	6	4	48	18	24	41	26	18
map2	NA	16	11	1	3	2	6	11	14	13	26	28	10
myl1	NA	6	0	0	0	0	0	0	1	0	1	18	0
cps1	NA	3	7	1	0	0	7	7	3	9	1	12	0
erbb4b	NA	2	11	0	7	2	1	11	6	1	20	11	14
LOC108191339	NA	0	0	0	0	0	0	0	0	0	1	0	0
LOC101883027	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911682	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108191338	NA	1	0	0	0	0	0	0	0	0	1	0	0
si:zfos-1425h8.1	NA	114	48	67	79	105	152	48	137	448	253	293	253
LOC110440048	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911684	NA	0	1	0	0	4	3	1	3	6	0	1	12
vwc2l	NA	0	0	0	0	0	0	0	0	0	0	0	0
bard1	NA	80	38	4	17	1	6	38	8	14	35	214	3
abca12	NA	3	5	21	15	130	22	5	61	48	51	12	350
pofut2	NA	45	50	26	41	28	8	50	79	31	105	114	65
hibch	NA	375	123	277	264	208	251	123	605	651	684	900	469
mstnb	NA	0	3	0	1	1	0	3	2	2	8	5	1
pms1	NA	63	54	52	41	26	45	54	119	140	117	133	69
ormdl1	NA	428	209	1091	558	694	1003	209	2838	2689	1431	981	1752
adat3	NA	51	23	39	31	49	33	23	103	108	115	112	111
osgepl1	NA	40	39	35	26	21	29	39	78	63	91	101	63
ankar	NA	8	3	3	7	14	11	3	10	21	21	13	29
zgc:136439	NA	174	99	162	176	170	203	99	419	584	517	498	412
asnsd1	NA	237	266	182	237	181	177	266	428	461	590	594	513
slc40a1	NA	1459	802	529	3097	620	1070	802	1445	2734	8099	3768	1609
wdr75	NA	224	380	241	259	284	151	380	634	443	628	696	696
stat4	NA	3294	624	435	2153	240	461	624	1098	1228	5615	8682	665
stat1b	NA	629	4851	278	1214	362	357	4851	767	862	3166	1647	938
glsb	NA	1296	1145	343	392	974	301	1145	754	804	1037	3480	2421
nab1b	NA	42	492	44	92	29	45	492	120	107	193	103	85
nemp2	NA	396	342	612	443	181	313	342	1535	852	1096	1072	493
mfsd6b	NA	281	248	56	233	83	63	248	146	199	617	679	237
spegb	NA	22	4	29	33	49	27	4	83	97	80	51	134
mir732	NA	0	0	0	0	0	0	0	0	0	0	0	0
ctdsp1	NA	705	735	406	667	337	405	735	1061	1184	1730	1791	918
mir26a-1	NA	0	0	0	0	0	0	0	0	0	0	0	0
obsl1b	NA	3	0	0	0	0	0	0	0	1	1	5	1
si:dkeyp-30e7.2	NA	0	0	0	0	0	0	0	0	3	0	1	0
col18a1a	NA	289	570	667	420	186	118	570	1747	364	1081	846	458
pcbp3	NA	10	2	5	5	7	1	2	18	2	11	20	23
lrrc3	NA	0	3	0	0	0	0	3	0	0	0	0	0
si:dkey-10c21.1	NA	128	100	79	105	53	64	100	198	176	261	309	152
calcrla	NA	3	11	12	5	11	8	11	30	8	36	17	43
tfpia	NA	669	1145	760	1006	736	920	1145	2024	2466	2526	1862	1815
LOC103911686	NA	0	0	0	0	3	0	0	1	1	0	0	6
gulp1a	NA	71	167	14	43	16	9	167	59	16	120	134	50
col5a2a	NA	2549	2723	249	1469	457	336	2723	685	870	3869	6819	1096
fkbp7	NA	98	113	30	68	67	38	113	102	68	172	233	171
ttn.1	NA	52	26	5	2	0	108	26	25	306	4	110	0
ttn.2	NA	3	0	0	0	11	0	0	2	1	1	4	27
ccdc141	NA	0	1	1	20	0	0	1	1	1	54	1	1
sestd1	NA	162	183	152	357	181	151	183	387	381	955	506	417
znf385b	NA	0	8	0	2	2	3	8	3	0	4	12	4
cwc22	NA	376	436	253	360	239	239	436	659	629	874	1069	593
ube2e3	NA	623	736	523	668	629	523	736	1424	1485	1833	1676	1702
itga4	NA	37	667	36	73	56	26	667	74	98	160	100	142
cerkl	NA	7	7	3	4	2	1	7	7	2	7	12	4
LOC110440049	NA	33	6	264	146	22	105	6	685	304	416	109	35
neurod1	NA	38	27	33	21	23	31	27	68	70	72	102	48
ssfa2	NA	974	978	1126	1149	997	955	978	3167	2669	2960	2666	2738
ppp1r1c	NA	1	3	1	7	9	2	3	12	7	12	7	25
LOC101882689	NA	0	0	0	0	0	0	0	0	0	2	0	0
pde1a	NA	9	26	15	28	21	13	26	43	44	85	36	57
LOC103911689	NA	0	0	0	0	0	0	0	0	0	0	0	0
dusp19a	NA	0	0	0	0	0	0	0	0	0	1	3	0
nckap1	NA	1312	1081	866	1500	914	881	1081	2254	2444	3838	3419	2283
frzb	NA	376	61	36	157	156	65	61	104	170	351	1010	320
dnajc10	NA	424	417	161	459	159	151	417	446	489	1154	1105	384
zgc:66484	NA	1103	678	1322	1611	2104	2319	678	3608	6724	4239	2995	5390
