isoform	gene	length
transcript:AT2G44140.4	AT2G44140	1518
transcript:AT2G44140.3	AT2G44140	1761
transcript:AT2G44140.5	AT2G44140	1476
transcript:AT2G44130.1	AT2G44130	1445
transcript:AT2G44150.1	AT2G44150	1836
transcript:AT2G44160.1	AT2G44160	2058
transcript:AT2G44175.1	AT2G44175	348
transcript:AT2G44180.1	AT2G44180	1712
transcript:AT2G44180.2	AT2G44180	1777
transcript:AT2G44190.1	AT2G44190	1999
transcript:AT2G44195.1	AT2G44195	804
transcript:AT2G44198.1	AT2G44198	99
transcript:AT2G44200.1	AT2G44200	2019
transcript:AT2G44210.1	AT2G44210	1900
transcript:AT2G44210.2	AT2G44210	1809
transcript:AT2G44220.1	AT2G44220	1373
transcript:AT2G44230.1	AT2G44230	2174
transcript:AT2G44240.1	AT2G44240	1519
transcript:AT2G44250.1	AT2G44250	1352
transcript:AT2G44250.2	AT2G44250	1127
transcript:AT2G44255.1	AT2G44255	1981
transcript:AT2G44255.2	AT2G44255	2050
transcript:AT2G44260.2	AT2G44260	2030
transcript:AT2G44260.1	AT2G44260	1799
transcript:AT2G44270.1	AT2G44270	1419
transcript:AT2G09515.1	AT2G09515	207
transcript:AT2G44280.3	AT2G44280	2304
transcript:AT2G44280.1	AT2G44280	2337
transcript:AT2G44280.2	AT2G44280	2252
transcript:AT2G44280.4	AT2G44280	2193
transcript:AT2G44290.1	AT2G44290	1149
transcript:AT2G44300.1	AT2G44300	1068
transcript:AT2G44310.1	AT2G44310	805
transcript:AT2G44320.1	AT2G44320	82
transcript:AT2G44330.1	AT2G44330	600
transcript:AT2G44340.1	AT2G44340	1135
transcript:AT2G44350.1	AT2G44350	1819
transcript:AT2G44350.2	AT2G44350	1822
transcript:AT2G44350.3	AT2G44350	1605
transcript:AT2G44350.4	AT2G44350	1513
transcript:AT2G44360.1	AT2G44360	643
transcript:AT2G44370.1	AT2G44370	1171
transcript:AT2G44380.1	AT2G44380	1196
transcript:AT2G44390.1	AT2G44390	630
transcript:AT2G44400.1	AT2G44400	935
transcript:AT2G44410.1	AT2G44410	1953
transcript:AT2G44420.1	AT2G44420	1405
transcript:AT2G44420.2	AT2G44420	1498
transcript:AT2G44420.3	AT2G44420	1237
transcript:AT2G44430.1	AT2G44430	2373
transcript:AT2G44440.1	AT2G44440	1836
transcript:AT2G44450.1	AT2G44450	2068
transcript:AT2G44450.2	AT2G44450	1241
transcript:AT2G44460.1	AT2G44460	2143
transcript:AT2G44460.2	AT2G44460	1556
transcript:AT2G09525.1	AT2G09525	708
transcript:AT2G44470.1	AT2G44470	1605
transcript:AT2G44470.2	AT2G44470	1701
transcript:AT2G44470.3	AT2G44470	2054
transcript:AT2G44480.3	AT2G44480	2016
transcript:AT2G44480.4	AT2G44480	1895
transcript:AT2G44480.1	AT2G44480	1753
transcript:AT2G44480.2	AT2G44480	1893
transcript:AT2G44480.5	AT2G44480	1426
transcript:AT2G44490.1	AT2G44490	2223
transcript:AT2G09530.1	AT2G09530	241
transcript:AT2G44500.1	AT2G44500	2371
transcript:AT2G44500.2	AT2G44500	2311
transcript:AT2G44510.1	AT2G44510	1395
transcript:AT2G44520.1	AT2G44520	1657
transcript:AT2G44525.1	AT2G44525	766
transcript:AT2G44530.2	AT2G44530	1568
transcript:AT2G44530.1	AT2G44530	1636
transcript:AT2G44540.1	AT2G44540	1598
transcript:AT2G44550.1	AT2G44550	1473
transcript:AT2G44560.1	AT2G44560	1712
transcript:AT2G44570.1	AT2G44570	1777
transcript:AT2G44570.2	AT2G44570	1969
transcript:AT2G44581.1	AT2G44581	631
transcript:AT2G44578.1	AT2G44578	694
transcript:AT2G44580.1	AT2G44580	1604
transcript:AT2G44580.2	AT2G44580	1498
transcript:AT2G44590.2	AT2G44590	2096
transcript:AT2G44590.3	AT2G44590	2151
transcript:AT2G44590.1	AT2G44590	1791
transcript:AT2G44600.1	AT2G44600	1592
transcript:AT2G44610.1	AT2G44610	1251
transcript:AT2G44620.1	AT2G44620	758
transcript:AT2G44630.1	AT2G44630	1418
transcript:AT2G44640.1	AT2G44640	1732
transcript:AT2G44650.1	AT2G44650	1171
transcript:AT2G44660.1	AT2G44660	1533
transcript:AT2G09535.1	AT2G09535	298
transcript:AT2G44670.1	AT2G44670	898
transcript:AT2G44680.1	AT2G44680	1500
transcript:AT2G44680.3	AT2G44680	1668
transcript:AT2G44680.2	AT2G44680	1467
transcript:AT2G44690.1	AT2G44690	1031
transcript:AT2G44700.1	AT2G44700	1328
transcript:AT2G44710.1	AT2G44710	3071
transcript:AT2G44710.2	AT2G44710	3203
transcript:AT2G44710.3	AT2G44710	2069
transcript:AT2G44710.4	AT2G44710	2735
transcript:AT2G44730.1	AT2G44730	1233
transcript:AT2G44735.1	AT2G44735	1144
transcript:AT2G44740.1	AT2G44740	1169
transcript:AT2G44745.1	AT2G44745	1025
transcript:AT2G44750.1	AT2G44750	1003
transcript:AT2G44750.2	AT2G44750	1009
transcript:AT2G44760.1	AT2G44760	1734
transcript:AT2G44770.1	AT2G44770	1607
transcript:AT2G44790.1	AT2G44790	1229
transcript:AT2G09540.1	AT2G09540	317
transcript:AT2G09545.1	AT2G09545	437
transcript:AT2G44798.1	AT2G44798	1453
transcript:AT2G44798.2	AT2G44798	1741
transcript:AT2G44798.3	AT2G44798	1624
transcript:AT2G44798.4	AT2G44798	1184
transcript:AT2G44798.5	AT2G44798	1106
transcript:AT2G44798.6	AT2G44798	1167
transcript:AT2G44798.7	AT2G44798	1862
transcript:AT2G44798.8	AT2G44798	1258
transcript:AT2G44798.9	AT2G44798	1302
transcript:AT2G44798.10	AT2G44798	2309
transcript:AT2G44800.1	AT2G44800	1258
transcript:AT2G44810.2	AT2G44810	2084
transcript:AT2G44810.1	AT2G44810	1309
transcript:AT2G44820.2	AT2G44820	1366
transcript:AT2G44820.1	AT2G44820	1062
transcript:AT2G44830.2	AT2G44830	3013
transcript:AT2G44830.1	AT2G44830	2535
transcript:AT2G44830.3	AT2G44830	2515
transcript:AT2G44840.1	AT2G44840	1113
transcript:AT2G09550.1	AT2G09550	476
transcript:AT2G09555.1	AT2G09555	335
transcript:AT2G44850.1	AT2G44850	1203
transcript:AT2G44850.2	AT2G44850	1457
transcript:AT2G44850.3	AT2G44850	1345
transcript:AT2G09560.1	AT2G09560	206
transcript:AT2G44860.2	AT2G44860	797
transcript:AT2G44860.1	AT2G44860	857
transcript:AT2G09565.1	AT2G09565	223
transcript:AT2G44870.1	AT2G44870	1306
transcript:AT2G44880.2	AT2G44880	2989
transcript:AT2G44880.4	AT2G44880	2196
transcript:AT2G44880.3	AT2G44880	3020
transcript:AT2G44880.5	AT2G44880	2862
transcript:AT2G44880.6	AT2G44880	2861
transcript:AT2G44880.1	AT2G44880	1739
transcript:AT2G09570.1	AT2G09570	320
transcript:AT2G44890.2	AT2G44890	1659
transcript:AT2G44890.1	AT2G44890	1536
transcript:AT2G09575.1	AT2G09575	604
transcript:AT2G44900.1	AT2G44900	3793
transcript:AT2G44900.2	AT2G44900	3905
transcript:AT2G44910.1	AT2G44910	1394
transcript:AT2G09585.1	AT2G09585	328
transcript:AT2G09590.1	AT2G09590	295
transcript:AT2G44920.2	AT2G44920	1108
transcript:AT2G44920.1	AT2G44920	1160
transcript:AT2G44925.1	AT2G44925	596
transcript:AT2G44930.1	AT2G44930	1841
transcript:AT2G44940.1	AT2G44940	1303
transcript:AT2G44950.1	AT2G44950	3469
transcript:AT2G44950.2	AT2G44950	2557
transcript:AT2G44970.3	AT2G44970	2045
transcript:AT2G44970.1	AT2G44970	1850
transcript:AT2G44970.2	AT2G44970	1825
transcript:AT2G44980.3	AT2G44980	2806
transcript:AT2G44980.2	AT2G44980	2795
transcript:AT2G44980.1	AT2G44980	2556
transcript:AT2G44990.2	AT2G44990	1943
transcript:AT2G44990.3	AT2G44990	2005
transcript:AT2G44990.1	AT2G44990	1857
transcript:AT2G44995.1	AT2G44995	621
transcript:AT2G44993.1	AT2G44993	1179
transcript:AT2G45000.1	AT2G45000	2619
transcript:AT2G45010.2	AT2G45010	1769
transcript:AT2G45010.1	AT2G45010	1172
transcript:AT2G45020.1	AT2G45020	73
transcript:ENSRNA049492393-T1	ENSRNA049492393	73
transcript:AT2G45023.1	AT2G45023	1153
transcript:AT2G45023.2	AT2G45023	782
transcript:AT2G45030.1	AT2G45030	2699
transcript:AT2G45040.1	AT2G45040	1446
transcript:AT2G45050.1	AT2G45050	1338
transcript:AT2G45060.1	AT2G45060	1387
transcript:AT2G45070.3	AT2G45070	781
transcript:AT2G45070.4	AT2G45070	763
transcript:AT2G45070.2	AT2G45070	565
transcript:AT2G45070.1	AT2G45070	458
transcript:AT2G45080.1	AT2G45080	1015
transcript:AT2G45100.1	AT2G45100	2033
transcript:AT2G45100.2	AT2G45100	2237
transcript:AT2G45100.3	AT2G45100	2066
transcript:AT2G45110.1	AT2G45110	959
transcript:AT2G45120.1	AT2G45120	1424
transcript:AT2G45130.1	AT2G45130	916
transcript:AT2G45135.2	AT2G45135	1095
transcript:AT2G45135.1	AT2G45135	816
transcript:AT2G45140.2	AT2G45140	1212
transcript:AT2G45140.1	AT2G45140	1274
transcript:AT2G45150.2	AT2G45150	1925
transcript:AT2G45150.1	AT2G45150	1813
transcript:AT2G45150.3	AT2G45150	1685
transcript:AT2G45160.1	AT2G45160	2590
transcript:AT2G45170.1	AT2G45170	757
transcript:AT2G45170.2	AT2G45170	757
transcript:AT2G45180.1	AT2G45180	970
transcript:AT2G45190.1	AT2G45190	1115
transcript:AT2G45190.2	AT2G45190	872
transcript:AT2G45200.1	AT2G45200	1380
transcript:AT2G45200.2	AT2G45200	1345
transcript:AT2G45210.1	AT2G45210	1177
transcript:AT2G45220.1	AT2G45220	1968
transcript:AT2G45240.1	AT2G45240	1696
transcript:AT2G45240.2	AT2G45240	1665
transcript:AT2G45245.3	AT2G45245	711
transcript:AT2G45245.4	AT2G45245	1063
transcript:AT2G45245.2	AT2G45245	765
transcript:AT2G45245.1	AT2G45245	386
transcript:AT2G45243.1	AT2G45243	513
transcript:AT2G45250.1	AT2G45250	1030
transcript:AT2G45250.2	AT2G45250	896
transcript:AT2G45250.3	AT2G45250	1159
transcript:AT2G45260.1	AT2G45260	1810
transcript:AT2G45270.1	AT2G45270	2158
transcript:AT2G45280.2	AT2G45280	1352
transcript:AT2G45280.1	AT2G45280	1614
transcript:AT2G45290.1	AT2G45290	3328
transcript:AT2G45290.2	AT2G45290	2776
transcript:AT2G45300.4	AT2G45300	1978
transcript:AT2G45300.3	AT2G45300	2426
transcript:AT2G45300.2	AT2G45300	3456
transcript:AT2G45300.1	AT2G45300	3154
transcript:AT2G45310.1	AT2G45310	1962
transcript:AT2G45315.1	AT2G45315	1984
transcript:AT2G45315.2	AT2G45315	1448
transcript:AT2G45315.3	AT2G45315	1410
transcript:AT2G45320.1	AT2G45320	1335
transcript:AT2G45330.1	AT2G45330	1499
transcript:AT2G45330.2	AT2G45330	1050
transcript:AT2G45340.1	AT2G45340	2410
transcript:AT2G45350.1	AT2G45350	1876
transcript:AT2G45360.1	AT2G45360	829
transcript:AT2G09605.1	AT2G09605	237
transcript:AT2G45380.2	AT2G45380	2223
transcript:AT2G45380.1	AT2G45380	1645
transcript:AT2G45380.3	AT2G45380	1855
transcript:AT2G45380.4	AT2G45380	1226
transcript:AT2G09610.1	AT2G09610	250
transcript:AT2G45390.1	AT2G45390	73
transcript:AT2G45400.1	AT2G45400	1449
transcript:AT2G45400.2	AT2G45400	1551
transcript:AT2G45400.3	AT2G45400	1065
transcript:AT2G45400.4	AT2G45400	946
transcript:AT2G09615.1	AT2G09615	376
transcript:AT2G45403.1	AT2G45403	701
transcript:AT2G45405.1	AT2G45405	427
transcript:AT2G45405.2	AT2G45405	398
transcript:AT2G45406.1	AT2G45406	437
transcript:AT2G45410.1	AT2G45410	908
transcript:AT2G45420.1	AT2G45420	1326
transcript:AT2G09620.1	AT2G09620	536
transcript:AT2G09625.1	AT2G09625	347
transcript:AT2G09630.1	AT2G09630	441
transcript:AT2G09635.1	AT2G09635	477
transcript:AT2G45430.1	AT2G45430	1769
transcript:AT2G45440.1	AT2G45440	1804
transcript:AT2G45450.1	AT2G45450	967
transcript:AT2G45460.2	AT2G45460	3186
transcript:AT2G45460.4	AT2G45460	3125
transcript:AT2G45460.1	AT2G45460	2963
transcript:AT2G45460.3	AT2G45460	3117
transcript:AT2G45470.1	AT2G45470	1846
transcript:AT2G45480.1	AT2G45480	1656
transcript:AT2G45480.2	AT2G45480	1846
transcript:AT2G45480.3	AT2G45480	1764
transcript:AT2G45490.2	AT2G45490	1170
transcript:AT2G45490.1	AT2G45490	1160
transcript:AT2G45500.1	AT2G45500	2234
transcript:AT2G45500.2	AT2G45500	2222
transcript:AT2G45500.3	AT2G45500	2353
transcript:AT2G45500.4	AT2G45500	1438
transcript:AT2G45500.5	AT2G45500	1696
transcript:AT2G45510.1	AT2G45510	1826
transcript:AT2G45520.1	AT2G45520	816
transcript:AT2G45530.1	AT2G45530	1043
transcript:AT2G09640.1	AT2G09640	841
transcript:AT2G45540.1	AT2G45540	9612
transcript:AT2G45540.2	AT2G45540	9625
transcript:AT2G45540.6	AT2G45540	8841
transcript:AT2G45540.3	AT2G45540	9317
transcript:AT2G45540.5	AT2G45540	9162
transcript:AT2G45540.4	AT2G45540	9206
transcript:AT2G09645.1	AT2G09645	200
transcript:AT2G09650.1	AT2G09650	251
transcript:AT2G45550.1	AT2G45550	1703
transcript:AT2G45560.1	AT2G45560	2237
transcript:AT2G45560.3	AT2G45560	1798
transcript:AT2G45560.2	AT2G45560	1239
transcript:AT2G45570.1	AT2G45570	2204
transcript:AT2G45580.1	AT2G45580	1949
transcript:AT2G45580.2	AT2G45580	1867
transcript:AT2G45580.3	AT2G45580	1677
transcript:AT2G45590.1	AT2G45590	3124
transcript:AT2G45600.1	AT2G45600	1527
transcript:AT2G45610.1	AT2G45610	1298
transcript:AT2G45620.1	AT2G45620	2528
transcript:AT2G45630.1	AT2G45630	1086
transcript:AT2G45630.2	AT2G45630	1203
transcript:AT2G45640.1	AT2G45640	872
transcript:AT2G45640.2	AT2G45640	856
transcript:AT2G45650.1	AT2G45650	1317
transcript:AT2G45660.1	AT2G45660	1431
transcript:AT2G45660.2	AT2G45660	1480
transcript:AT2G09655.1	AT2G09655	249
transcript:AT2G45670.1	AT2G45670	2193
transcript:AT2G45670.2	AT2G45670	2207
transcript:AT2G45680.1	AT2G45680	1648
transcript:AT2G45685.1	AT2G45685	1680
transcript:AT2G45690.1	AT2G45690	1564
transcript:AT2G45695.1	AT2G45695	550
transcript:AT2G45700.1	AT2G45700	2610
transcript:AT2G45700.2	AT2G45700	2555
transcript:AT2G45710.1	AT2G45710	1042
transcript:AT2G45720.1	AT2G45720	2317
transcript:AT2G45720.3	AT2G45720	2032
transcript:AT2G45720.2	AT2G45720	2329
transcript:AT2G45720.4	AT2G45720	1917
transcript:AT2G45720.5	AT2G45720	1981
transcript:AT2G09660.1	AT2G09660	753
transcript:AT2G45730.1	AT2G45730	1746
transcript:AT2G45740.2	AT2G45740	1289
transcript:AT2G45740.3	AT2G45740	1133
transcript:AT2G45740.1	AT2G45740	1202
transcript:AT2G45750.1	AT2G45750	2268
transcript:AT2G45760.1	AT2G45760	892
transcript:AT2G45770.1	AT2G45770	1600
transcript:AT2G45780.1	AT2G45780	630
transcript:AT2G45790.1	AT2G45790	1207
transcript:AT2G45800.2	AT2G45800	1166
transcript:AT2G45800.1	AT2G45800	1164
transcript:AT2G09665.1	AT2G09665	1010
transcript:AT2G45810.1	AT2G45810	2508
transcript:AT2G45820.1	AT2G45820	932
transcript:AT2G45830.1	AT2G45830	2171
transcript:AT2G45830.2	AT2G45830	2274
transcript:AT2G45830.3	AT2G45830	2189
transcript:AT2G45830.4	AT2G45830	2082
transcript:AT2G45830.5	AT2G45830	2176
transcript:AT2G45830.6	AT2G45830	1889
transcript:AT2G45840.1	AT2G45840	2004
transcript:AT2G45850.2	AT2G45850	1696
transcript:AT2G45850.1	AT2G45850	1886
transcript:AT2G45850.3	AT2G45850	2054
transcript:AT2G45860.1	AT2G45860	672
transcript:AT2G45870.1	AT2G45870	1664
transcript:AT2G45870.2	AT2G45870	1779
transcript:AT2G45870.3	AT2G45870	1755
transcript:AT2G45880.1	AT2G45880	3272
transcript:AT2G45890.1	AT2G45890	1844
transcript:AT2G45900.1	AT2G45900	2834
transcript:AT2G45900.2	AT2G45900	2593
transcript:AT2G45900.3	AT2G45900	2566
transcript:AT2G45910.2	AT2G45910	2919
transcript:AT2G45910.1	AT2G45910	3157
transcript:AT2G45920.1	AT2G45920	2143
transcript:AT2G45920.2	AT2G45920	2155
transcript:AT2G45930.1	AT2G45930	1430
transcript:at2g09670	AT2G09670	495
transcript:ENSRNA049757891-T1	ENSRNA049757891	495
transcript:AT2G45940.2	AT2G45940	1128
transcript:AT2G45940.1	AT2G45940	1223
transcript:AT2G45950.2	AT2G45950	1967
transcript:AT2G45950.1	AT2G45950	2023
transcript:AT2G45950.4	AT2G45950	1539
transcript:AT2G45950.3	AT2G45950	1800
transcript:AT2G45950.5	AT2G45950	1569
transcript:AT2G45960.1	AT2G45960	1509
transcript:AT2G45960.2	AT2G45960	1383
transcript:AT2G45960.3	AT2G45960	1299
transcript:AT2G45970.1	AT2G45970	2645
transcript:AT2G45980.1	AT2G45980	1434
transcript:AT2G45990.1	AT2G45990	1079
transcript:AT2G45990.3	AT2G45990	1064
transcript:AT2G45990.2	AT2G45990	1232
transcript:AT2G45990.4	AT2G45990	1133
transcript:AT2G09675.1	AT2G09675	183
transcript:AT2G46000.1	AT2G46000	929
transcript:AT2G46020.1	AT2G46020	7145
transcript:AT2G46020.3	AT2G46020	7563
transcript:AT2G46020.5	AT2G46020	7248
transcript:AT2G46020.4	AT2G46020	7394
transcript:AT2G46020.6	AT2G46020	6731
transcript:AT2G46020.2	AT2G46020	6747
transcript:AT2G46030.4	AT2G46030	1029
transcript:AT2G46030.5	AT2G46030	899
transcript:AT2G46030.1	AT2G46030	1270
transcript:AT2G46030.2	AT2G46030	1400
transcript:AT2G46030.3	AT2G46030	1143
transcript:AT2G46040.1	AT2G46040	2644
transcript:AT2G46040.2	AT2G46040	2777
transcript:AT2G46040.3	AT2G46040	2228
transcript:AT2G46050.1	AT2G46050	1773
transcript:AT2G46060.2	AT2G46060	2835
transcript:AT2G46060.3	AT2G46060	2764
transcript:AT2G46060.1	AT2G46060	2792
transcript:AT2G46070.3	AT2G46070	1613
transcript:AT2G46070.1	AT2G46070	1329
transcript:AT2G46070.2	AT2G46070	1347
transcript:AT2G46080.1	AT2G46080	1485
transcript:AT2G46090.1	AT2G46090	1408
transcript:AT2G46100.1	AT2G46100	926
transcript:AT2G46100.2	AT2G46100	1154
transcript:AT2G46110.1	AT2G46110	1452
transcript:AT2G46120.1	AT2G46120	73
transcript:AT2G46130.1	AT2G46130	628
transcript:AT2G46130.2	AT2G46130	616
transcript:AT2G46140.1	AT2G46140	948
transcript:AT2G46150.1	AT2G46150	1141
transcript:AT2G46160.1	AT2G46160	1543
transcript:AT2G46160.2	AT2G46160	1001
transcript:AT2G46170.1	AT2G46170	1441
transcript:AT2G46170.2	AT2G46170	903
transcript:AT2G46180.1	AT2G46180	2540
transcript:AT2G46190.1	AT2G46190	663
transcript:AT2G09680.1	AT2G09680	122
transcript:AT2G46192.1	AT2G46192	827
transcript:AT2G09685.1	AT2G09685	85
transcript:AT2G09690.1	AT2G09690	162
transcript:AT2G09695.1	AT2G09695	145
transcript:AT2G09700.1	AT2G09700	141
transcript:ENSRNA049495736-T1	ENSRNA049495736	141
transcript:AT2G09705.1	AT2G09705	144
transcript:ENSRNA049495738-T1	ENSRNA049495738	144
transcript:AT2G46200.1	AT2G46200	3945
transcript:AT2G46200.3	AT2G46200	4022
transcript:AT2G46200.2	AT2G46200	1734
transcript:AT2G46200.4	AT2G46200	1641
transcript:AT2G46210.1	AT2G46210	1966
transcript:AT2G46220.1	AT2G46220	1365
transcript:AT2G46225.3	AT2G46225	1232
transcript:AT2G46225.1	AT2G46225	1310
transcript:AT2G46225.2	AT2G46225	1403
transcript:AT2G09710.1	AT2G09710	426
transcript:AT2G46230.1	AT2G46230	960
transcript:AT2G46230.2	AT2G46230	1048
transcript:AT2G46240.1	AT2G46240	3784
transcript:AT2G46250.2	AT2G46250	1962
transcript:AT2G46250.1	AT2G46250	1792
transcript:at2g46255	AT2G46255	225
transcript:ENSRNA049757894-T1	ENSRNA049757894	225
transcript:AT2G46260.1	AT2G46260	2361
transcript:AT2G46270.1	AT2G46270	1944
transcript:AT2G46270.2	AT2G46270	1875
transcript:AT2G46270.3	AT2G46270	1929
transcript:AT2G46270.4	AT2G46270	1860
transcript:AT2G46280.1	AT2G46280	1628
transcript:AT2G46280.2	AT2G46280	1738
transcript:AT2G46280.3	AT2G46280	1391
transcript:AT2G46290.1	AT2G46290	1362
transcript:AT2G46300.1	AT2G46300	1380
transcript:AT2G46308.1	AT2G46308	189
transcript:AT2G46310.1	AT2G46310	1557
transcript:AT2G09715.1	AT2G09715	223
transcript:AT2G46320.2	AT2G46320	1502
transcript:AT2G46320.4	AT2G46320	1596
transcript:AT2G46320.1	AT2G46320	1481
transcript:AT2G46320.3	AT2G46320	1710
transcript:AT2G46320.5	AT2G46320	1264
transcript:AT2G46330.1	AT2G46330	944
transcript:AT2G46330.2	AT2G46330	748
transcript:AT2G46340.1	AT2G46340	3933
transcript:AT2G46340.2	AT2G46340	4103
transcript:AT2G46360.1	AT2G46360	769
transcript:AT2G46370.2	AT2G46370	2325
transcript:AT2G46370.4	AT2G46370	2329
transcript:AT2G46370.1	AT2G46370	2180
transcript:AT2G46370.3	AT2G46370	1931
transcript:AT2G46375.1	AT2G46375	586
transcript:AT2G46375.3	AT2G46375	430
transcript:AT2G46375.2	AT2G46375	452
transcript:AT2G46380.2	AT2G46380	2873
transcript:AT2G46380.1	AT2G46380	2837
transcript:AT2G46390.1	AT2G46390	522
transcript:AT2G46400.1	AT2G46400	1354
transcript:AT2G46410.1	AT2G46410	763
transcript:AT2G46420.1	AT2G46420	2150
transcript:AT2G46420.3	AT2G46420	2614
transcript:AT2G46420.2	AT2G46420	1900
transcript:AT2G46430.2	AT2G46430	2633
transcript:AT2G46430.1	AT2G46430	2508
transcript:AT2G46440.1	AT2G46440	2569
transcript:AT2G46440.2	AT2G46440	2648
transcript:AT2G46450.1	AT2G46450	3379
transcript:AT2G46450.3	AT2G46450	2195
transcript:AT2G46450.4	AT2G46450	2686
transcript:AT2G46450.2	AT2G46450	2130
transcript:AT2G46455.2	AT2G46455	1048
transcript:AT2G46455.3	AT2G46455	910
transcript:AT2G46455.1	AT2G46455	904
transcript:AT2G46455.4	AT2G46455	908
transcript:AT2G46455.5	AT2G46455	807
transcript:AT2G46460.1	AT2G46460	483
transcript:AT2G46470.1	AT2G46470	1655
transcript:AT2G09720.1	AT2G09720	350
transcript:AT2G46480.1	AT2G46480	1630
transcript:AT2G46480.2	AT2G46480	1701
transcript:AT2G46480.3	AT2G46480	1706
transcript:AT2G46480.4	AT2G46480	1662
transcript:AT2G46490.1	AT2G46490	839
transcript:AT2G46493.1	AT2G46493	1064
transcript:AT2G46494.1	AT2G46494	1089
transcript:AT2G46495.1	AT2G46495	1415
transcript:AT2G46495.2	AT2G46495	1331
transcript:AT2G46500.1	AT2G46500	2645
transcript:AT2G46500.2	AT2G46500	2503
transcript:AT2G46500.3	AT2G46500	1700
transcript:AT2G46505.1	AT2G46505	1291
transcript:AT2G46510.1	AT2G46510	2421
transcript:AT2G09725.1	AT2G09725	206
transcript:AT2G46520.1	AT2G46520	3874
transcript:AT2G09730.1	AT2G09730	352
transcript:AT2G46530.1	AT2G46530	2624
transcript:AT2G46530.2	AT2G46530	2413
transcript:AT2G46530.3	AT2G46530	2171
transcript:AT2G46535.1	AT2G46535	890
transcript:AT2G46540.1	AT2G46540	569
transcript:AT2G46550.1	AT2G46550	1727
transcript:AT2G46550.3	AT2G46550	1644
transcript:AT2G46550.2	AT2G46550	1637
transcript:AT2G46560.2	AT2G46560	7799
transcript:AT2G46560.3	AT2G46560	7779
transcript:AT2G46560.1	AT2G46560	7746
transcript:AT2G46572.1	AT2G46572	2038
transcript:AT2G46572.2	AT2G46572	1952
transcript:AT2G46572.3	AT2G46572	2184
transcript:AT2G46572.4	AT2G46572	2003
transcript:AT2G46570.1	AT2G46570	2310
transcript:AT2G46570.2	AT2G46570	1455
transcript:AT2G46567.1	AT2G46567	111
transcript:AT2G46580.1	AT2G46580	975
transcript:AT2G46590.1	AT2G46590	2369
transcript:AT2G46590.2	AT2G46590	1749
transcript:AT2G46600.1	AT2G46600	582
transcript:AT2G09735.1	AT2G09735	99
transcript:AT2G46610.2	AT2G46610	1619
transcript:AT2G46610.1	AT2G46610	1100
transcript:AT2G46610.4	AT2G46610	731
transcript:AT2G46610.3	AT2G46610	1602
transcript:AT2G09740.1	AT2G09740	491
transcript:AT2G46620.1	AT2G46620	2081
transcript:AT2G46630.1	AT2G46630	1930
transcript:AT2G46640.3	AT2G46640	1311
transcript:AT2G46640.2	AT2G46640	1152
transcript:AT2G46640.4	AT2G46640	1240
transcript:AT2G46640.1	AT2G46640	1127
transcript:AT2G46650.1	AT2G46650	1070
transcript:AT2G46660.1	AT2G46660	2029
transcript:AT2G09745.1	AT2G09745	383
transcript:AT2G46670.1	AT2G46670	784
transcript:AT2G46680.1	AT2G46680	1474
transcript:AT2G46680.2	AT2G46680	1308
transcript:at2g46685	AT2G46685	170
transcript:ENSRNA049757895-T1	ENSRNA049757895	170
transcript:AT2G09750.1	AT2G09750	238
transcript:AT2G46690.1	AT2G46690	896
transcript:AT2G46700.1	AT2G46700	2485
transcript:AT2G46700.2	AT2G46700	2569
transcript:AT2G46700.3	AT2G46700	2680
transcript:AT2G09755.1	AT2G09755	383
transcript:AT2G46710.1	AT2G46710	2663
transcript:AT2G46720.1	AT2G46720	3113
transcript:AT2G46735.1	AT2G46735	952
transcript:AT2G46740.1	AT2G46740	1951
transcript:AT2G46750.1	AT2G46750	2340
transcript:AT2G46760.1	AT2G46760	2003
transcript:AT2G46765.1	AT2G46765	393
transcript:AT2G46770.1	AT2G46770	1384
transcript:AT2G46780.1	AT2G46780	1953
transcript:AT2G46780.2	AT2G46780	1567
transcript:AT2G46790.1	AT2G46790	1952
transcript:AT2G46790.3	AT2G46790	2045
transcript:AT2G46790.4	AT2G46790	2039
transcript:AT2G46790.2	AT2G46790	1862
transcript:AT2G46790.5	AT2G46790	1938
transcript:AT2G46800.2	AT2G46800	2090
transcript:AT2G46800.3	AT2G46800	2476
transcript:AT2G46800.4	AT2G46800	2306
transcript:AT2G46800.5	AT2G46800	1920
transcript:AT2G46800.1	AT2G46800	1466
transcript:AT2G46810.1	AT2G46810	1415
transcript:AT2G46810.2	AT2G46810	2480
transcript:AT2G46810.3	AT2G46810	2123
transcript:AT2G46810.4	AT2G46810	2445
transcript:AT2G46820.1	AT2G46820	1177
transcript:AT2G46820.2	AT2G46820	988
transcript:AT2G46830.1	AT2G46830	2355
transcript:AT2G46830.2	AT2G46830	2628
transcript:AT2G46830.3	AT2G46830	1882
transcript:AT2G46840.1	AT2G46840	838
transcript:AT2G46850.1	AT2G46850	2090
transcript:AT2G46860.1	AT2G46860	979
transcript:AT2G46870.1	AT2G46870	1628
transcript:AT2G09760.1	AT2G09760	537
transcript:AT2G46880.1	AT2G46880	1577
transcript:AT2G46880.2	AT2G46880	1538
transcript:AT2G46890.1	AT2G46890	1245
transcript:AT2G46900.1	AT2G46900	2280
transcript:AT2G46910.1	AT2G46910	1055
transcript:AT2G46915.1	AT2G46915	2312
transcript:AT2G46915.2	AT2G46915	2061
